city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,65.6,20,25,9544800.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,70.4,2,4,9578119.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Милиционера Власова, 8",0,3,237.14,5,6,9711200.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,3,245.91,5,12,9700000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,220.02,3,24,9802620.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,3,73.6,3,4,9974814.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,75.5,4,4,10017189.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак2",1,2,75.2,2,4,9996437.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,75.2,3,4,9970516.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,3,227.7,2,24,10026120.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,3,73.4,3,4,9982085.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,217.43,14,24,10020010.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,2,74.9,3,4,10075133.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак2",1,2,69.7,4,4,10082725.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,2,254.5,2,10,10140160.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,75.2,3,4,10223076.0,1,0,0,0,0,0
